ID,AthleteScore,AthleteDistance,Style_Score,Physical_Score,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0047,145.1,137.5,18.666666666666668,126.43333333333332,,,,,,,,,,,,,,,,
JP0048,108.5,96.0,17.333333333333332,91.16666666666667,,,,,,,,,,,,,,,,
JP0049,128.4,145.0,16.166666666666668,112.23333333333333,,,,,,,,,,,,,,,,
JP0050,127.2,95.0,18.5,108.7,,,,,,,,,,,,,,,,
JP0051,133.1,140.5,16.333333333333332,116.76666666666667,,,,,,,,,,,,,,,,
JP0052,145.0,139.0,17.333333333333332,127.66666666666667,,,,,,,,,,,,,,,,
JP0053,146.0,141.5,17.0,129.0,,,,,,,,,,,,,,,,
JP0054,231.5,241.5,19.0,212.5,,,,,,,,,,,,,,,,
JP0055,123.6,130.5,18.166666666666668,105.43333333333332,,,,,,,,,,,,,,,,
JP0056,109.9,94.0,17.333333333333332,92.56666666666668,,,,,,,,,,,,,,,,
JP0057,130.7,134.0,18.5,112.19999999999999,,,,,,,,,,,,,,,,
JP0058,132.1,140.0,19.0,113.1,,,,,,,,,,,,,,,,
JP0059,215.1,228.0,19.166666666666668,195.93333333333334,,,,,,,,,,,,,,,,
JP0060,212.7,222.5,19.0,193.7,,,,,,,,,,,,,,,,
JP0061,232.6,235.5,19.166666666666668,213.43333333333334,,,,,,,,,,,,,,,,
JP0062,228.7,234.5,19.0,209.7,,,,,,,,,,,,,,,,
JP0063,130.0,134.0,17.833333333333332,112.16666666666667,,,,,,,,,,,,,,,,
JP0064,132.3,88.5,17.666666666666668,114.63333333333334,,,,,,,,,,,,,,,,
JP0065,149.5,142.0,18.5,131.0,,,,,,,,,,,,,,,,
JP0066,221.9,232.5,19.0,202.9,,,,,,,,,,,,,,,,
JP0067,128.9,128.0,18.166666666666668,110.73333333333333,,,,,,,,,,,,,,,,
JP0068,132.6,129.0,18.333333333333332,114.26666666666667,,,,,,,,,,,,,,,,
JP0069,133.0,104.5,18.5,114.5,,,,,,,,,,,,,,,,
JP0070,130.2,107.0,18.0,112.19999999999999,,,,,,,,,,,,,,,,
JP0071,128.2,129.5,17.5,110.69999999999999,,,,,,,,,,,,,,,,
JP0072,122.2,123.0,18.0,104.2,,,,,,,,,,,,,,,,
JP0073,202.4,223.5,18.5,183.9,,,,,,,,,,,,,,,,
JP0074,160.9,147.0,18.833333333333332,142.06666666666666,,,,,,,,,,,,,,,,
JP0075,125.9,96.0,18.0,107.9,,,,,,,,,,,,,,,,
JP0076,153.2,142.0,19.333333333333332,133.86666666666665,,,,,,,,,,,,,,,,
JP0077,131.1,137.5,18.333333333333332,112.76666666666667,,,,,,,,,,,,,,,,
JP0078,133.3,130.5,18.333333333333332,114.96666666666668,,,,,,,,,,,,,,,,
JP0079,126.8,97.0,16.666666666666668,110.13333333333333,,,,,,,,,,,,,,,,
JP0080,127.6,135.0,17.666666666666668,109.93333333333332,,,,,,,,,,,,,,,,
JP0081,144.5,128.5,19.0,125.5,,,,,,,,,,,,,,,,
JP0082,161.7,136.0,19.333333333333332,142.36666666666665,,,,,,,,,,,,,,,,
JP0083,98.9,95.0,17.166666666666668,81.73333333333333,,,,,,,,,,,,,,,,
JP0084,109.6,125.0,18.333333333333332,91.26666666666667,,,,,,,,,,,,,,,,
JP0085,222.6,233.5,16.5,206.1,,,,,,,,,,,,,,,,
JP0086,132.1,89.0,17.833333333333332,114.26666666666667,,,,,,,,,,,,,,,,
JP0087,124.8,120.5,17.0,107.8,,,,,,,,,,,,,,,,
JP0088,142.1,136.0,18.5,123.6,,,,,,,,,,,,,,,,
JP0089,121.3,93.0,18.5,102.8,,,,,,,,,,,,,,,,
JP0090,128.3,141.5,19.0,109.30000000000001,,,,,,,,,,,,,,,,
JP0091,132.1,126.5,18.166666666666668,113.93333333333332,,,,,,,,,,,,,,,,
JP0092,142.9,138.0,18.666666666666668,124.23333333333333,,,,,,,,,,,,,,,,
JP0093,116.4,93.5,18.0,98.4,,,,,,,,,,,,,,,,
JP0094,115.4,136.0,18.333333333333332,97.06666666666668,,,,,,,,,,,,,,,,
JP0095,110.2,96.0,17.5,92.7,,,,,,,,,,,,,,,,
JP0096,119.8,89.0,17.666666666666668,102.13333333333333,,,,,,,,,,,,,,,,
JP0097,127.9,135.0,17.666666666666668,110.23333333333333,,,,,,,,,,,,,,,,
JP0098,135.7,98.5,18.833333333333332,116.86666666666666,,,,,,,,,,,,,,,,
JP0099,139.5,105.5,18.333333333333332,121.16666666666667,,,,,,,,,,,,,,,,
JP0100,125.6,143.0,18.666666666666668,106.93333333333332,,,,,,,,,,,,,,,,
